date,Region,mean_daily_site_volume,median_daily_site_volume,total_daily_site_volume,n_sites
2021-05-01,CCITY,12098.28813559322,10559.5,1427598,118
2021-05-01,DCC1,17020.015151515152,14865.5,1123321,66
2021-05-01,IRE,16739.429319371728,14867.0,3197231,191
2021-05-01,IRE3,18313.85714285714,17985.0,512788,28
2021-05-01,NCITY,14283.241025641026,14182.0,2785232,195
2021-05-01,SCITY,11706.630136986301,11797.5,1709168,146
2021-05-01,WCITY1,14602.241666666667,14006.5,1752269,120
2021-05-02,CCITY,10310.728813559323,8748.0,1216666,118
2021-05-02,DCC1,14300.484848484848,12212.5,943832,66
2021-05-02,IRE,14616.157068062827,12652.0,2791686,191
2021-05-02,IRE3,16271.357142857143,13736.0,455598,28
2021-05-02,NCITY,12075.846153846154,11878.0,2354790,195
2021-05-02,SCITY,10177.287671232876,10322.5,1485884,146
2021-05-02,WCITY1,11807.825,11461.0,1416939,120
2021-05-03,CCITY,9456.635593220339,8124.5,1115883,118
2021-05-03,DCC1,13014.363636363636,11108.0,858948,66
2021-05-03,IRE,12288.847368421053,10966.0,2334881,190
2021-05-03,IRE3,14037.92857142857,13021.0,393062,28
2021-05-03,NCITY,11044.36923076923,11106.0,2153652,195
2021-05-03,SCITY,9030.630136986301,9092.0,1318472,146
2021-05-03,WCITY1,11183.2,10686.5,1341984,120
2021-05-04,CCITY,13717.652542372882,12451.5,1618683,118
2021-05-04,DCC1,19073.636363636364,16637.5,1258860,66
2021-05-04,IRE,17878.452631578948,15319.0,3396906,190
2021-05-04,IRE3,19035.703703703704,18796.0,513964,27
2021-05-04,NCITY,15597.302564102563,15413.0,3041474,195
2021-05-04,SCITY,12754.43537414966,13713.0,1874902,147
2021-05-04,WCITY1,16047.691666666668,15270.5,1925723,120
2021-05-05,CCITY,14016.101694915254,12053.0,1653900,118
2021-05-05,DCC1,19518.727272727272,16847.0,1288236,66
2021-05-05,IRE,18332.083769633507,15525.0,3501428,191
2021-05-05,IRE3,18656.51851851852,19132.0,503726,27
2021-05-05,NCITY,16034.471794871795,15378.0,3126722,195
2021-05-05,SCITY,13062.664383561643,13965.5,1907149,146
2021-05-05,WCITY1,16296.475,15370.5,1955577,120
2021-05-06,CCITY,14312.601694915254,12862.0,1688887,118
2021-05-06,DCC1,19980.924242424244,17541.0,1318741,66
2021-05-06,IRE,19399.795811518325,16551.0,3705361,191
2021-05-06,IRE3,19799.428571428572,20694.5,554384,28
2021-05-06,NCITY,16539.63076923077,15709.0,3225228,195
2021-05-06,SCITY,13485.904761904761,14266.0,1982428,147
2021-05-06,WCITY1,16528.866666666665,15321.0,1983464,120
2021-05-07,CCITY,15229.254237288136,13443.5,1797052,118
2021-05-07,DCC1,20395.641791044774,18540.0,1366508,67
2021-05-07,IRE,20169.403141361257,17370.0,3852356,191
2021-05-07,IRE3,20897.571428571428,21711.0,585132,28
2021-05-07,NCITY,17299.764102564102,16766.0,3373454,195
2021-05-07,SCITY,14254.727891156463,15226.0,2095445,147
2021-05-07,WCITY1,17195.216666666667,16208.0,2063426,120
2021-05-08,CCITY,12347.322033898305,10894.0,1456984,118
2021-05-08,DCC1,16476.21212121212,14563.0,1087430,66
2021-05-08,IRE,16682.916230366493,15064.0,3186437,191
2021-05-08,IRE3,18426.5,17830.5,515942,28
2021-05-08,NCITY,14434.502564102564,14379.0,2814728,195
2021-05-08,SCITY,11984.410958904109,12273.5,1749724,146
2021-05-08,WCITY1,14449.016666666666,14072.0,1733882,120
2021-05-09,CCITY,10424.440677966102,8818.5,1230084,118
2021-05-09,DCC1,14300.348484848484,11868.0,943823,66
2021-05-09,IRE,14580.28272251309,12757.0,2784834,191
2021-05-09,IRE3,16311.535714285714,13111.0,456723,28
2021-05-09,NCITY,12267.292307692307,12098.0,2392122,195
2021-05-09,SCITY,10296.075342465754,10549.5,1503227,146
2021-05-09,WCITY1,12137.233333333334,11315.0,1456468,120
2021-05-10,CCITY,14256.127118644068,12416.5,1682223,118
2021-05-10,DCC1,19569.060606060608,17220.5,1291558,66
2021-05-10,IRE,18547.49214659686,15856.0,3542571,191
2021-05-10,IRE3,19730.464285714286,19834.5,552453,28
2021-05-10,NCITY,16164.133333333333,15582.0,3152006,195
2021-05-10,SCITY,13311.061643835616,14123.0,1943415,146
2021-05-10,WCITY1,16046.808333333332,15248.5,1925617,120
2021-05-11,CCITY,14665.974576271186,13047.0,1730585,118
2021-05-11,DCC1,20250.136363636364,17905.0,1336509,66
2021-05-11,IRE,19534.48167539267,16688.0,3731086,191
2021-05-11,IRE3,20259.379310344826,18302.0,587522,29
2021-05-11,NCITY,16743.266666666666,16172.0,3264937,195
2021-05-11,SCITY,13689.727891156463,14637.0,2012390,147
2021-05-11,WCITY1,16793.691666666666,15288.5,2015243,120
2021-05-12,CCITY,14833.177966101695,13033.0,1750315,118
2021-05-12,DCC1,20238.10606060606,17525.0,1335715,66
2021-05-12,IRE,19556.06282722513,16645.0,3735208,191
2021-05-12,IRE3,20092.44827586207,21086.0,582681,29
2021-05-12,NCITY,16961.384615384617,16109.0,3307470,195
2021-05-12,SCITY,13981.294520547945,14743.0,2041269,146
2021-05-12,WCITY1,16818.1,15646.5,2018172,120
2021-05-13,CCITY,15139.338983050848,13176.0,1786442,118
2021-05-13,DCC1,20660.651515151516,18281.0,1363603,66
2021-05-13,IRE,20199.586387434556,17288.0,3858121,191
2021-05-13,IRE3,20978.241379310344,21711.0,608369,29
2021-05-13,NCITY,17201.389743589745,16193.0,3354271,195
2021-05-13,SCITY,14374.006849315068,15091.5,2098605,146
2021-05-13,WCITY1,17100.033333333333,15830.0,2052004,120
2021-05-14,CCITY,15772.135593220339,13456.5,1861112,118
2021-05-14,DCC1,20953.13432835821,18351.0,1403860,67
2021-05-14,IRE,20933.0,18005.5,3977270,190
2021-05-14,IRE3,21882.793103448275,22426.0,634601,29
2021-05-14,NCITY,17692.220512820513,16711.0,3449983,195
2021-05-14,SCITY,14862.054794520547,15411.5,2169860,146
2021-05-14,WCITY1,17645.933333333334,16229.5,2117512,120
2021-05-15,CCITY,13397.974576271186,11037.0,1580961,118
2021-05-15,DCC1,16752.059701492537,14622.0,1122388,67
2021-05-15,IRE,17005.356020942407,15131.0,3248023,191
2021-05-15,IRE3,19019.344827586207,19229.0,551561,29
2021-05-15,NCITY,14988.302564102563,14662.0,2922719,195
2021-05-15,SCITY,12687.664383561643,13018.0,1852399,146
2021-05-15,WCITY1,15052.858333333334,14435.5,1806343,120
2021-05-16,CCITY,11347.254237288136,9141.0,1338976,118
2021-05-16,DCC1,14672.686567164179,12666.0,983070,67
2021-05-16,IRE,15856.251308900524,13500.0,3028544,191
2021-05-16,IRE3,16932.862068965518,15784.0,491053,29
2021-05-16,NCITY,12984.594871794872,12598.0,2531996,195
2021-05-16,SCITY,11036.698630136987,11287.0,1611358,146
2021-05-16,WCITY1,12818.758333333333,11804.5,1538251,120
2021-05-17,CCITY,14591.07627118644,12497.5,1721747,118
2021-05-17,DCC1,19828.86567164179,16637.0,1328534,67
2021-05-17,IRE,19199.1832460733,16480.0,3667044,191
2021-05-17,IRE3,20298.862068965518,20948.0,588667,29
2021-05-17,NCITY,16462.805128205127,15499.0,3210247,195
2021-05-17,SCITY,13541.993150684932,14386.5,1977131,146
2021-05-17,WCITY1,16564.483333333334,15430.0,1987738,120
2021-05-18,CCITY,14855.983050847457,13063.5,1753006,118
2021-05-18,DCC1,19846.014705882353,17047.0,1349529,68
2021-05-18,IRE,19642.261780104713,17052.0,3751672,191
2021-05-18,IRE3,20024.827586206895,21000.0,580720,29
2021-05-18,NCITY,16763.276923076923,15893.0,3268839,195
2021-05-18,SCITY,13985.643835616438,14712.5,2041904,146
2021-05-18,WCITY1,16799.325,15333.5,2015919,120
2021-05-19,CCITY,15259.28813559322,13192.5,1800596,118
2021-05-19,DCC1,20611.149253731342,17940.0,1380947,67
2021-05-19,IRE,20553.643979057593,17656.0,3925746,191
2021-05-19,IRE3,21172.344827586207,21603.0,613998,29
2021-05-19,NCITY,16994.604060913705,15966.0,3347937,197
2021-05-19,SCITY,14327.390410958904,15240.0,2091799,146
2021-05-19,WCITY1,17126.741666666665,15661.5,2055209,120
2021-05-20,CCITY,15461.593220338984,14032.0,1824468,118
2021-05-20,DCC1,20383.850746268658,17039.0,1365718,67
2021-05-20,IRE,19362.287958115183,17103.0,3698197,191
2021-05-20,IRE3,20565.44827586207,19579.0,596398,29
2021-05-20,NCITY,16976.3654822335,16139.0,3344344,197
2021-05-20,SCITY,14581.349315068494,14894.0,2128877,146
2021-05-20,WCITY1,17091.833333333332,15852.5,2051020,120
2021-05-21,CCITY,15885.983050847457,13711.0,1874546,118
2021-05-21,DCC1,21219.0,17426.0,1442892,68
2021-05-21,IRE,20229.98952879581,17948.0,3863928,191
2021-05-21,IRE3,21418.862068965518,21834.0,621147,29
2021-05-21,NCITY,17274.030456852794,16607.0,3402984,197
2021-05-21,SCITY,14952.664383561643,14868.0,2183089,146
2021-05-21,WCITY1,17468.691666666666,16540.5,2096243,120
2021-05-22,CCITY,13964.237288135593,11931.0,1647780,118
2021-05-22,DCC1,18055.34328358209,15845.0,1209708,67
2021-05-22,IRE,17899.392670157067,15960.0,3418784,191
2021-05-22,IRE3,19936.827586206895,20400.0,578168,29
2021-05-22,NCITY,15138.370558375635,14745.0,2982259,197
2021-05-22,SCITY,12907.068493150686,12986.5,1884432,146
2021-05-22,WCITY1,15309.458333333334,14290.0,1837135,120
2021-05-23,CCITY,11780.635593220339,9866.5,1390115,118
2021-05-23,DCC1,14829.701492537313,13002.0,993590,67
2021-05-23,IRE,14535.821989528797,13167.0,2776342,191
2021-05-23,IRE3,16365.241379310344,15615.0,474592,29
2021-05-23,NCITY,12679.451776649747,12533.0,2497852,197
2021-05-23,SCITY,10840.910958904109,10941.0,1582773,146
2021-05-23,WCITY1,12554.95,11536.0,1506594,120
2021-05-24,CCITY,14727.245762711864,12533.5,1737815,118
2021-05-24,DCC1,20247.560606060608,17284.0,1336339,66
2021-05-24,IRE,19187.16230366492,16131.0,3664748,191
2021-05-24,IRE3,20070.827586206895,21427.0,582054,29
2021-05-24,NCITY,16292.015228426397,15415.0,3209527,197
2021-05-24,SCITY,13655.424657534246,14578.5,1993692,146
2021-05-24,WCITY1,16413.566666666666,15112.5,1969628,120
2021-05-25,CCITY,15003.661016949152,13069.0,1770432,118
2021-05-25,DCC1,20766.984848484848,17389.0,1370621,66
2021-05-25,IRE,19363.253886010363,16666.0,3737108,193
2021-05-25,IRE3,16411.235294117647,15977.0,557982,34
2021-05-25,NCITY,16612.167512690354,15765.0,3272597,197
2021-05-25,SCITY,13837.496598639456,14465.0,2034112,147
2021-05-25,WCITY1,16874.991666666665,15621.5,2024999,120
2021-05-26,CCITY,15179.330508474577,13189.0,1791161,118
2021-05-26,DCC1,20902.772727272728,18090.0,1379583,66
2021-05-26,IRE,20815.321052631578,17676.0,3954911,190
2021-05-26,IRE3,20942.896551724138,21872.0,607344,29
2021-05-26,NCITY,16879.406091370558,16121.0,3325243,197
2021-05-26,SCITY,14136.795918367347,15007.0,2078109,147
