date,location_label,dublin_daily_avg_pm25,pm25_count,pm25_min,pm25_max
2021-05-06,north,8.427492957746479,71,3.963,17.017
2021-05-06,south,4.870181146770512,7447,0.702,107.655
2021-05-07,north,7.30480172413793,6264,1.023,142.365
2021-05-07,south,8.514771613832853,6940,1.356,289.73
2021-05-10,south,4.443266922094509,1566,0.195,101.522
2021-05-11,north,10.478878612716763,173,4.195,21.602
2021-05-11,south,9.844637764242206,2791,3.73,69.97
2021-05-12,south,5.86384,650,0.596,31.54
2021-05-13,south,7.057950503355704,4768,0.958,35.333
2021-05-14,north,9.653981481481482,54,4.757,14.525
2021-05-14,south,9.739903944716383,17365,1.91,102.269
2021-05-17,north,3.702897393850659,17075,0.249,91.487
2021-05-17,south,4.964750080411708,3109,0.658,47.627
2021-05-18,north,5.877084898755793,16396,0.327,129.263
2021-05-18,south,8.861578231292517,294,2.694,34.373
2021-05-19,north,6.831226171875,20480,0.44,341.009
2021-05-19,south,8.979587412587412,572,2.719,49.91
2021-05-24,north,8.170560711758164,9891,0.349,172.693
2021-05-24,south,7.227282678983834,2165,0.637,165.966
2021-05-25,north,8.161417512841954,8371,1.814,113.704
2021-05-26,north,9.46364984433885,6103,1.409,161.337
2021-05-26,south,7.505421052631578,1653,1.293,44.571
2021-05-27,north,10.16980657545034,10159,1.358,319.053
2021-05-27,south,10.853324314827828,2846,0.705,245.319
2021-05-31,south,10.105560222672064,5928,0.071,226.496
2021-06-01,south,17.248193414417088,3371,4.844,113.716
2021-06-02,north,19.092716594157864,3218,8.982,76.291
2021-06-02,south,18.029154185022026,4086,8.347,39.085
2021-06-03,north,10.514650632911392,395,1.27,47.938
2021-06-03,south,5.5362162027833,2012,0.836,88.931
2021-06-04,north,7.297549420209829,1811,0.712,53.182
2021-06-04,south,5.431722284019281,2697,0.916,184.082
2021-06-08,south,3.7273054582728284,23414,0.181,110.489
2021-06-09,north,4.487589484864578,1883,0.556,21.207
2021-06-09,south,3.7415368689614787,23909,0.071,372.056
2021-06-10,north,3.223037037037037,702,0.601,29.039
2021-06-10,south,2.5849596552776086,26224,0.416,307.027
2021-06-11,north,8.365376444444445,2250,2.431,51.509
2021-06-11,south,8.571912633325432,21095,1.191,315.921
2021-06-14,north,9.808435522805233,7871,3.281,300.749
2021-06-14,south,7.507700348714621,12331,1.629,54.487
2021-06-15,north,5.285792400198364,16132,0.754,105.163
2021-06-15,south,9.320162710970465,7584,0.595,222.777
2021-06-16,north,11.437303380984797,8814,3.607,325.463
2021-06-16,south,12.528102075154234,1783,5.158,50.625
2021-06-17,north,6.110104294715683,25869,1.116,288.566
2021-06-17,south,12.583240802675586,598,2.744,99.085
2021-06-18,north,7.239894210277055,16892,1.022,73.86
2021-06-18,south,9.266985948477751,427,3.878,24.911
2021-06-21,north,9.112948435154175,17318,3.038,121.412
2021-06-21,south,10.224243697478991,714,5.54,47.872
2021-06-22,north,9.768675246266286,12588,0.071,105.262
2021-06-22,south,11.410965981812058,8907,4.389,158.658
2021-06-23,north,2.2349891682267984,14956,0.167,32.383
2021-06-23,south,3.9523717948717954,156,0.699,14.698
2021-06-24,north,9.455930232558138,14878,1.128,191.568
2021-06-24,south,9.048529220779221,4928,0.975,129.615
2021-06-25,north,6.346251256281407,199,2.807,13.845
2021-06-25,south,5.686444005939356,25592,0.611,225.873
2021-06-28,north,7.35092590851394,21271,1.909,283.317
2021-06-28,south,6.306014319809069,2933,2.474,32.676
2021-06-29,north,15.265483906464926,10905,5.378,167.683
2021-06-29,south,14.884047606198441,25942,5.697,387.972
2021-06-30,north,10.816618216139688,14833,5.644,134.516
2021-06-30,south,11.536517183698297,6576,6.691,56.652
2021-07-05,north,5.513332094107202,18022,0.44,348.127
2021-07-05,south,6.358174796747968,492,1.456,84.937
2021-07-06,north,3.465940973971452,23820,0.071,173.989
2021-07-06,south,4.399505511811024,635,0.658,81.863
2021-07-07,north,9.36327634766808,13208,3.3,196.129
2021-07-07,south,13.368954802259886,354,5.217,68.16
2021-07-08,north,3.3299022939677148,4708,1.195,29.826
2021-07-08,south,4.054809830879669,8219,1.085,161.061
2021-07-09,north,3.3944147806500053,9323,0.469,53.097
2021-07-09,south,6.356712295401403,10264,0.556,202.631
2021-07-12,south,5.972862185637815,19802,0.789,393.884
2021-07-13,south,6.6100521770858665,24666,1.483,363.601
2021-07-14,north,3.167865317959963,14137,0.53,115.231
2021-07-14,south,14.657177914110429,489,1.124,180.565
2021-07-15,north,6.2139737538363855,9449,1.5,55.286
2021-07-15,south,7.78184339314845,1839,2.793,48.839
2021-07-16,north,9.600903350515463,2328,1.638,80.976
2021-07-16,south,5.171588277340958,15389,0.674,280.686
2021-07-19,north,8.959497079592015,11471,2.767,240.459
2021-07-19,south,10.062285609532537,10910,1.922,341.577
2021-07-20,north,10.089442209837655,12381,0.987,373.212
2021-07-20,south,6.4235142931618725,11509,0.807,210.448
2021-07-21,north,9.070393974507532,863,3.203,37.312
2021-07-21,south,6.7792482035067545,20874,1.632,120.144
2021-07-22,north,12.913939393939394,99,9.036,22.007
2021-07-22,south,11.271667084766335,24715,2.43,309.864
2021-07-23,north,28.718469807181616,8661,16.527,87.789
2021-07-23,south,21.958563218390804,15660,10.468,395.07
2021-07-26,north,12.223404313126167,23556,4.06,153.811
2021-07-26,south,10.737581445523192,927,5.512,35.719
2021-07-27,north,6.8024169664268594,20016,0.706,278.841
2021-07-27,south,5.647534640993341,5557,0.618,202.763
2021-07-28,north,2.327658973029046,23136,0.146,94.706
2021-07-28,south,5.022924354243543,542,0.601,31.272
2021-07-29,north,4.345152517614711,23276,0.391,223.668
2021-07-29,south,6.787685667752443,614,0.862,82.791
2021-07-30,north,3.8083246055723396,2979,1.257,33.873
2021-07-30,south,4.932459110473458,697,1.637,21.303
2021-08-03,north,6.12628,25,4.189,8.831
2021-08-03,south,6.318767016789347,12091,1.48,151.901
2021-08-04,north,8.293271100507008,6706,2.918,66.426
2021-08-04,south,7.89421986353298,2638,3.039,92.417
2021-08-05,north,6.135495521628498,19650,0.39,112.674
2021-08-05,south,5.369769102990033,602,0.995,19.205
2021-08-06,north,4.834558681513599,20296,0.23,181.374
2021-08-06,south,8.213063694267516,628,1.392,56.55
2021-08-09,north,3.2886042536275095,5031,0.492,132.226
2021-08-09,south,3.646184210526316,8132,0.483,274.171
2021-08-10,south,5.775912891692955,23775,0.845,146.615
2021-08-11,north,8.226936356986101,1367,2.421,69.361
2021-08-11,south,5.250212246486066,20561,0.128,259.682
2021-08-12,south,8.501708596017211,19986,1.846,135.617
2021-08-13,north,8.724734220402594,11724,2.158,168.557
2021-08-13,south,9.848773627130315,11618,2.785,344.784
2021-08-16,north,5.959692351216502,19441,1.278,280.913
2021-08-16,south,6.157088320743754,3442,1.253,47.946
2021-08-17,north,5.967087186388542,10403,0.345,344.484
2021-08-17,south,2.636114379827351,8804,0.483,70.764
2021-08-18,north,3.299426219126029,1579,0.606,115.243
2021-08-18,south,3.037,563,0.699,14.11
2021-08-19,north,5.7612448836229095,21353,0.924,97.111
2021-08-19,south,5.992756069364162,865,0.67,30.48
2021-08-20,north,7.696160255304468,17391,0.12,116.44
2021-08-20,south,13.555311188811189,572,0.217,168.738
2021-08-23,north,4.643771866546438,21071,0.805,50.37
2021-08-23,south,6.954885263157895,950,1.837,64.473
2021-08-24,north,10.78873589180283,14566,0.071,262.078
2021-08-24,south,16.19193243243243,222,11.067,34.789
2021-08-25,north,6.2504356745975205,14038,2.129,74.695
2021-08-25,south,7.969881758463871,5937,2.444,260.314
2021-08-26,north,11.7356884057971,414,5.591,35.553
2021-08-26,south,11.330776969981237,4264,5.643,104.693
2021-08-27,north,12.485236702127658,752,4.263,173.724
2021-08-27,south,9.810353764609948,14716,3.268,62.551
2021-08-30,north,4.932531716417911,1072,1.284,84.382
2021-08-30,south,4.683501808536292,20735,0.856,111.183
2021-08-31,north,12.281321202531645,632,2.549,67.956
2021-08-31,south,6.224737026871769,15667,1.7,220.379
2021-09-01,north,6.719418423033497,10628,2.251,282.881
2021-09-01,south,10.166328205128204,390,4.665,30.608
2021-09-02,north,11.633272591486183,1339,4.133,84.269
2021-09-02,south,11.10595559834296,17139,2.466,311.213
2021-09-03,north,12.817609468528932,5513,5.1,123.201
2021-09-03,south,16.301603041568097,14795,3.727,291.993
2021-09-06,north,14.865932268370607,9390,6.666,104.849
2021-09-06,south,14.011418585822238,11116,6.128,123.589
2021-09-07,north,16.73679768612426,13311,5.899,224.565
2021-09-07,south,19.31847387661843,6565,8.903,94.979
2021-09-08,north,26.881944015444017,518,8.901,231.263
2021-09-08,south,13.348820527463399,19262,5.439,156.46
2021-09-09,north,9.162535150528885,12290,0.223,178.242
2021-09-09,south,9.413570546318288,2105,1.89,198.719
2021-09-10,north,12.54724465709729,3135,5.383,94.492
2021-09-10,south,10.790650392380039,16693,3.449,378.115
2021-09-13,north,4.146961738484398,10768,0.427,92.238
