date,day_name,day_of_week,is_weekend,location_label,dublin_daily_avg_pm25,pm25_count,pm25_min,pm25_max,maxtp,mintp,rain,wdsp,hm,hg,sun,g_rad,pe,evap,mean_daily_site_volume,median_daily_site_volume,total_daily_site_volume,n_sites
2021-05-06,Thursday,3,0,north,8.427492957746479,71,3.963,17.017,12.0,-1.7,0.1,9.9,18,26,12.1,2489,2.8,4.4,16539.63076923077,15709.0,3225228,195
2021-05-06,Thursday,3,0,south,4.870181146770512,7447,0.702,107.655,12.0,-1.7,0.1,9.9,18,26,12.1,2489,2.8,4.4,13485.90476190476,14266.0,1982428,147
2021-05-07,Friday,4,0,north,7.30480172413793,6264,1.023,142.365,11.1,0.6,0.0,8.5,15,21,11.3,2394,2.7,4.1,17299.764102564102,16766.0,3373454,195
2021-05-07,Friday,4,0,south,8.514771613832853,6940,1.356,289.73,11.1,0.6,0.0,8.5,15,21,11.3,2394,2.7,4.1,14254.727891156464,15226.0,2095445,147
2021-05-10,Monday,0,0,south,4.443266922094509,1566,0.195,101.522,15.3,8.0,3.6,10.8,19,27,2.6,1312,2.4,3.5,13311.061643835616,14123.0,1943415,146
2021-05-11,Tuesday,1,0,north,10.478878612716764,173,4.195,21.602,14.1,2.6,0.0,9.9,15,23,13.0,2716,2.9,4.7,16743.266666666666,16172.0,3264937,195
2021-05-11,Tuesday,1,0,south,9.844637764242206,2791,3.73,69.97,14.1,2.6,0.0,9.9,15,23,13.0,2716,2.9,4.7,13689.727891156464,14637.0,2012390,147
2021-05-12,Wednesday,2,0,south,5.86384,650,0.596,31.54,12.3,0.3,1.4,4.8,9,16,3.2,1620,1.9,2.8,13981.294520547945,14743.0,2041269,146
2021-05-13,Thursday,3,0,south,7.057950503355704,4768,0.958,35.333,14.2,1.9,0.0,4.6,8,11,9.1,2068,2.5,3.5,14374.006849315068,15091.5,2098605,146
2021-05-14,Friday,4,0,north,9.653981481481482,54,4.757,14.525,14.2,2.6,0.0,6.5,12,18,5.3,1872,2.3,3.4,17692.220512820513,16711.0,3449983,195
2021-05-14,Friday,4,0,south,9.739903944716383,17365,1.91,102.269,14.2,2.6,0.0,6.5,12,18,5.3,1872,2.3,3.4,14862.054794520547,15411.5,2169860,146
2021-05-17,Monday,0,0,north,3.702897393850659,17075,0.249,91.487,14.8,4.5,0.7,8.2,15,19,6.9,1769,2.5,3.6,16462.805128205127,15499.0,3210247,195
2021-05-17,Monday,0,0,south,4.964750080411708,3109,0.658,47.627,14.8,4.5,0.7,8.2,15,19,6.9,1769,2.5,3.6,13541.993150684932,14386.5,1977131,146
2021-05-18,Tuesday,1,0,north,5.877084898755793,16396,0.327,129.263,14.0,6.0,2.7,5.9,13,19,8.1,1822,2.4,3.5,16763.276923076923,15893.0,3268839,195
2021-05-18,Tuesday,1,0,south,8.861578231292517,294,2.694,34.373,14.0,6.0,2.7,5.9,13,19,8.1,1822,2.4,3.5,13985.643835616438,14712.5,2041904,146
2021-05-19,Wednesday,2,0,north,6.831226171875,20480,0.44,341.009,16.5,4.7,0.1,7.0,13,18,10.4,2371,3.3,4.7,16994.604060913705,15966.0,3347937,197
2021-05-19,Wednesday,2,0,south,8.979587412587412,572,2.719,49.91,16.5,4.7,0.1,7.0,13,18,10.4,2371,3.3,4.7,14327.390410958904,15240.0,2091799,146
2021-05-24,Monday,0,0,north,8.170560711758164,9891,0.349,172.693,14.5,1.3,0.3,11.1,20,28,11.1,2518,3.0,4.8,16292.015228426397,15415.0,3209527,197
2021-05-24,Monday,0,0,south,7.227282678983834,2165,0.637,165.966,14.5,1.3,0.3,11.1,20,28,11.1,2518,3.0,4.8,13655.424657534246,14578.5,1993692,146
2021-05-25,Tuesday,1,0,north,8.161417512841954,8371,1.814,113.704,14.5,5.2,5.1,9.0,16,22,5.7,1550,2.3,3.4,16612.167512690354,15765.0,3272597,197
2021-05-26,Wednesday,2,0,north,9.46364984433885,6103,1.409,161.337,16.1,4.7,0.0,6.1,10,13,7.8,2034,2.8,4.0,16879.406091370558,16121.0,3325243,197
2021-05-26,Wednesday,2,0,south,7.505421052631578,1653,1.293,44.571,16.1,4.7,0.0,6.1,10,13,7.8,2034,2.8,4.0,14136.795918367348,15007.0,2078109,147
2021-05-27,Thursday,3,0,north,10.16980657545034,10159,1.358,319.053,15.9,7.6,3.2,7.1,13,21,7.7,1900,2.9,4.1,17285.928934010153,16382.0,3405328,197
2021-05-27,Thursday,3,0,south,10.853324314827828,2846,0.705,245.319,15.9,7.6,3.2,7.1,13,21,7.7,1900,2.9,4.1,14620.945578231293,14932.0,2149279,147
2021-05-31,Monday,0,0,south,10.105560222672064,5928,0.071,226.496,19.7,5.7,0.0,7.4,15,23,13.9,2888,3.9,5.7,14302.081632653062,15002.0,2102406,147
2021-06-01,Tuesday,1,0,south,17.248193414417088,3371,4.844,113.716,19.6,9.8,0.0,6.5,12,15,11.9,2603,3.7,5.3,14570.714285714286,15477.0,2141895,147
2021-06-02,Wednesday,2,0,north,19.092716594157864,3218,8.982,76.291,17.9,9.7,0.0,6.4,11,15,3.4,1314,2.2,3.1,17127.243654822334,16104.0,3374067,197
2021-06-02,Wednesday,2,0,south,18.029154185022023,4086,8.347,39.085,17.9,9.7,0.0,6.4,11,15,3.4,1314,2.2,3.1,14551.945578231293,15445.0,2139136,147
2021-06-03,Thursday,3,0,north,10.514650632911392,395,1.27,47.938,19.1,9.5,0.0,9.0,15,24,11.3,2629,3.8,5.6,17570.969543147206,16544.0,3461481,197
2021-06-03,Thursday,3,0,south,5.5362162027833,2012,0.836,88.931,19.1,9.5,0.0,9.0,15,24,11.3,2629,3.8,5.6,15051.204081632652,15653.0,2212527,147
2021-06-04,Friday,4,0,north,7.297549420209829,1811,0.712,53.182,18.9,9.1,0.0,7.5,13,19,7.3,1948,3.4,4.7,17677.38578680203,16691.0,3482445,197
2021-06-04,Friday,4,0,south,5.431722284019281,2697,0.916,184.082,18.9,9.1,0.0,7.5,13,19,7.3,1948,3.4,4.7,15282.734693877552,15755.0,2246562,147
