date,day_name,day_of_week,is_weekend,daily_mean_pm25,pm25_count,pm25_min,pm25_max,maxtp,mintp,rain,wdsp,hm,hg,sun,g_rad,pe,evap,mean_daily_site_volume,median_daily_site_volume,total_daily_site_volume,n_sites,n_regions
2021-05-06,Thursday,3,0,4.90377640329875,7518,0.702,107.655,12.0,-1.7,0.1,9.9,18,26,12.1,2489,2.8,4.4,17149.5932168698,16134.92857142857,14458493,865,7
2021-05-07,Friday,4,0,8.028252839618355,13206,1.023,764.816,11.1,0.6,0.0,8.5,15,21,11.3,2394,2.7,4.1,17920.225608378976,17037.785714285714,15133373,866,7
2021-05-10,Monday,0,0,4.443266922094509,1566,0.195,101.522,15.3,8.0,3.6,10.8,19,27,2.6,1312,2.4,3.5,16803.592495359728,15754.42857142857,14089843,864,7
2021-05-11,Tuesday,1,0,9.881656545209175,2964,3.73,69.97,14.1,2.6,0.0,9.9,15,23,13.0,2716,2.9,4.7,17419.522592876405,16005.642857142857,14678272,866,7
2021-05-12,Wednesday,2,0,5.86384,650,0.596,31.54,12.3,0.3,1.4,4.8,9,16,3.2,1620,1.9,2.8,17497.22489510393,16398.214285714286,14770830,865,7
2021-05-13,Thursday,3,0,7.057950503355704,4768,0.958,35.333,14.2,1.9,0.0,4.6,8,11,9.1,2068,2.5,3.5,17950.464027312202,16795.785714285714,15121415,865,7
2021-05-14,Friday,4,0,9.7396375796544,17419,1.91,102.269,14.2,2.6,0.0,6.5,12,18,5.3,1872,2.3,3.4,18534.46738081446,17227.285714285714,15614198,865,7
2021-05-17,Monday,0,0,3.897264219183511,20184,0.249,91.487,14.8,4.5,0.7,8.2,15,19,6.9,1769,2.5,3.6,17212.466981441492,15982.57142857143,14481108,866,7
2021-05-18,Tuesday,1,0,5.929657759137208,16690,0.327,129.263,14.0,6.0,2.7,5.9,13,19,8.1,1822,2.4,3.5,17416.761840247826,16300.214285714286,14761589,867,7
2021-05-19,Wednesday,2,0,6.889598897966939,21052,0.44,341.009,16.5,4.7,0.1,7.0,13,18,10.4,2371,3.3,4.7,18006.45176207252,16751.285714285714,15216232,868,7
2021-05-24,Monday,0,0,8.00116813205043,12056,0.349,172.693,14.5,1.3,0.3,11.1,20,28,11.1,2518,3.0,4.8,17227.686115895944,16068.785714285714,14493803,867,7
2021-05-25,Tuesday,1,0,8.161417512841954,8371,1.814,113.704,14.5,5.2,5.1,9.0,16,22,5.7,1550,2.3,3.4,16981.398689079786,15564.642857142857,14767851,875,7
2021-05-26,Wednesday,2,0,9.0463017019082,7756,1.293,161.337,16.1,4.7,0.0,6.1,10,13,7.8,2034,2.8,4.0,17982.56278807251,16788.785714285714,15178921,867,7
2021-05-27,Thursday,3,0,10.376216746117178,13006,0.705,749.449,15.9,7.6,3.2,7.1,13,21,7.7,1900,2.9,4.1,18354.187742669397,17014.214285714286,15496488,868,7
2021-05-31,Monday,0,0,10.105560222672064,5928,0.071,226.496,19.7,5.7,0.0,7.4,15,23,13.9,2888,3.9,5.7,17773.842468737683,16513.571428571428,15009066,868,7
2021-06-01,Tuesday,1,0,17.248193414417088,3371,4.844,113.716,19.6,9.8,0.0,6.5,12,15,11.9,2603,3.7,5.3,18049.454835669978,16903.714285714286,15270684,869,7
2021-06-02,Wednesday,2,0,18.497739047097483,7304,8.347,76.291,17.9,9.7,0.0,6.4,11,15,3.4,1314,2.2,3.1,18048.465507722583,16764.64285714286,15275756,869,7
2021-06-03,Thursday,3,0,6.353200664727877,2407,0.836,88.931,19.1,9.5,0.0,9.0,15,24,11.3,2629,3.8,5.6,18634.03804281203,17386.785714285714,15763722,869,7
2021-06-04,Friday,4,0,6.181281499556344,4508,0.712,184.082,18.9,9.1,0.0,7.5,13,19,7.3,1948,3.4,4.7,18804.748360968097,17471.214285714286,15865996,868,7
2021-06-08,Tuesday,1,0,3.727305458272829,23414,0.181,110.489,19.2,11.6,0.0,8.5,14,25,1.7,1638,2.9,4.1,17243.62891209753,15807.357142857143,14914189,874,7
2021-06-09,Wednesday,2,0,3.796004032258064,25792,0.071,372.056,21.3,13.6,0.0,8.0,14,24,3.6,1549,2.8,3.9,18283.284965719628,16931.428571428572,15452884,869,7
