date,location_label,mean_daily_site_volume,median_daily_site_volume,total_daily_site_volume,n_sites
2021-05-01,north,14283.241025641026,14182.0,2785232,195
2021-05-01,south,11706.6301369863,11797.5,1709168,146
2021-05-02,north,12075.846153846154,11878.0,2354790,195
2021-05-02,south,10177.287671232876,10322.5,1485884,146
2021-05-03,north,11044.36923076923,11106.0,2153652,195
2021-05-03,south,9030.6301369863,9092.0,1318472,146
2021-05-04,north,15597.302564102563,15413.0,3041474,195
2021-05-04,south,12754.43537414966,13713.0,1874902,147
2021-05-05,north,16034.471794871795,15378.0,3126722,195
2021-05-05,south,13062.664383561643,13965.5,1907149,146
2021-05-06,north,16539.63076923077,15709.0,3225228,195
2021-05-06,south,13485.90476190476,14266.0,1982428,147
2021-05-07,north,17299.764102564102,16766.0,3373454,195
2021-05-07,south,14254.727891156464,15226.0,2095445,147
2021-05-08,north,14434.502564102564,14379.0,2814728,195
2021-05-08,south,11984.410958904107,12273.5,1749724,146
2021-05-09,north,12267.292307692309,12098.0,2392122,195
2021-05-09,south,10296.075342465754,10549.5,1503227,146
2021-05-10,north,16164.133333333331,15582.0,3152006,195
2021-05-10,south,13311.061643835616,14123.0,1943415,146
2021-05-11,north,16743.266666666666,16172.0,3264937,195
2021-05-11,south,13689.727891156464,14637.0,2012390,147
2021-05-12,north,16961.384615384617,16109.0,3307470,195
2021-05-12,south,13981.294520547945,14743.0,2041269,146
2021-05-13,north,17201.389743589745,16193.0,3354271,195
2021-05-13,south,14374.006849315068,15091.5,2098605,146
2021-05-14,north,17692.220512820513,16711.0,3449983,195
2021-05-14,south,14862.054794520547,15411.5,2169860,146
2021-05-15,north,14988.302564102563,14662.0,2922719,195
2021-05-15,south,12687.664383561643,13018.0,1852399,146
2021-05-16,north,12984.594871794872,12598.0,2531996,195
2021-05-16,south,11036.698630136989,11287.0,1611358,146
2021-05-17,north,16462.805128205127,15499.0,3210247,195
2021-05-17,south,13541.993150684932,14386.5,1977131,146
2021-05-18,north,16763.276923076923,15893.0,3268839,195
2021-05-18,south,13985.643835616438,14712.5,2041904,146
2021-05-19,north,16994.604060913705,15966.0,3347937,197
2021-05-19,south,14327.390410958904,15240.0,2091799,146
2021-05-20,north,16976.3654822335,16139.0,3344344,197
2021-05-20,south,14581.349315068494,14894.0,2128877,146
2021-05-21,north,17274.030456852794,16607.0,3402984,197
2021-05-21,south,14952.664383561643,14868.0,2183089,146
2021-05-22,north,15138.370558375636,14745.0,2982259,197
2021-05-22,south,12907.068493150686,12986.5,1884432,146
2021-05-23,north,12679.451776649748,12533.0,2497852,197
2021-05-23,south,10840.910958904107,10941.0,1582773,146
2021-05-24,north,16292.015228426397,15415.0,3209527,197
2021-05-24,south,13655.424657534246,14578.5,1993692,146
2021-05-25,north,16612.167512690354,15765.0,3272597,197
2021-05-25,south,13837.496598639456,14465.0,2034112,147
2021-05-26,north,16879.406091370558,16121.0,3325243,197
2021-05-26,south,14136.795918367348,15007.0,2078109,147
2021-05-27,north,17285.928934010153,16382.0,3405328,197
2021-05-27,south,14620.945578231293,14932.0,2149279,147
2021-05-28,north,17528.05583756345,16686.0,3453027,197
2021-05-28,south,15153.13605442177,15314.0,2227511,147
2021-05-29,north,15127.959390862943,14780.0,2980208,197
2021-05-29,south,13330.1301369863,13755.0,1946199,146
2021-05-30,north,13582.888324873096,13161.0,2675829,197
2021-05-30,south,11968.075342465754,11858.0,1747339,146
2021-05-31,north,16597.720812182743,16363.0,3269751,197
2021-05-31,south,14302.081632653062,15002.0,2102406,147
2021-06-01,north,17035.74111675127,16386.0,3356041,197
2021-06-01,south,14570.714285714286,15477.0,2141895,147
2021-06-02,north,17127.243654822334,16104.0,3374067,197
2021-06-02,south,14551.945578231293,15445.0,2139136,147
2021-06-03,north,17570.969543147206,16544.0,3461481,197
2021-06-03,south,15051.204081632652,15653.0,2212527,147
2021-06-04,north,17677.38578680203,16691.0,3482445,197
2021-06-04,south,15282.734693877552,15755.0,2246562,147
2021-06-05,north,14450.0,14058.0,2846650,197
2021-06-05,south,12398.700680272108,12697.0,1822609,147
2021-06-06,north,12455.10152284264,12124.0,2453655,197
2021-06-06,south,10746.90476190476,11276.0,1579795,147
2021-06-07,north,12756.081218274112,12540.0,2512948,197
2021-06-07,south,11070.00680272109,11620.0,1627291,147
2021-06-08,north,16688.162436548224,15288.0,3287568,197
2021-06-08,south,14082.190476190475,15056.0,2070082,147
2021-06-09,north,17214.172588832487,16082.0,3391192,197
2021-06-09,south,14901.727891156464,15339.0,2190554,147
2021-06-10,north,17728.730964467006,17265.0,3492560,197
2021-06-10,south,15461.986301369863,15666.0,2257450,146
2021-06-11,north,18055.05076142132,16630.0,3556845,197
2021-06-11,south,15855.04794520548,16087.0,2314837,146
2021-06-12,north,15583.243654822336,14503.0,3069899,197
2021-06-12,south,13771.082191780824,14124.0,2010578,146
2021-06-13,north,13767.197969543147,13424.0,2712138,197
2021-06-13,south,12009.897260273972,11872.5,1753445,146
2021-06-14,north,16691.20812182741,15797.0,3288168,197
2021-06-14,south,14246.561643835616,14853.0,2079998,146
2021-06-15,north,17162.25888324873,16552.0,3380965,197
2021-06-15,south,14830.445205479453,15206.0,2165245,146
2021-06-16,north,17511.380710659898,16407.0,3449742,197
2021-06-16,south,15262.71724137931,15240.0,2213094,145
2021-06-17,north,17699.54314720812,16570.0,3486810,197
2021-06-17,south,15562.372413793104,15843.0,2256544,145
2021-06-18,north,18017.73096446701,16704.0,3549493,197
2021-06-18,south,15769.737931034482,15967.0,2286612,145
2021-06-19,north,15753.76649746193,15113.0,3103492,197
2021-06-19,south,13883.358620689654,14624.0,2013087,145
2021-06-20,north,14072.989847715737,13248.0,2772379,197
2021-06-20,south,12137.372413793104,12289.0,1759919,145
2021-06-21,north,16632.451776649745,15654.0,3276593,197
2021-06-21,south,14250.662068965516,14879.0,2066346,145
2021-06-22,north,16998.223350253807,16029.0,3348650,197
2021-06-22,south,14688.813793103447,15529.0,2129878,145
2021-06-23,north,17102.472081218275,15857.0,3369187,197
2021-06-23,south,14834.643835616438,14838.5,2165858,146
2021-06-24,north,17532.4923857868,16839.0,3453901,197
2021-06-24,south,15367.732876712327,15875.5,2243689,146
2021-06-25,north,17770.695431472082,17205.0,3500827,197
2021-06-25,south,15635.849315068494,15604.0,2282834,146
2021-06-26,north,15251.55837563452,14853.0,3004557,197
2021-06-26,south,13503.903448275862,13924.0,1958066,145
2021-06-27,north,13759.55837563452,13305.0,2710633,197
2021-06-27,south,12112.758620689656,12692.0,1756350,145
2021-06-28,north,16516.903553299493,15589.0,3253830,197
2021-06-28,south,13986.554794520547,14579.0,2042037,146
2021-06-29,north,17128.913705583756,16554.0,3374396,197
2021-06-29,south,14669.089041095893,15304.0,2141687,146
2021-06-30,north,17340.065989847717,16578.0,3415993,197
2021-06-30,south,15119.198630136989,15930.0,2207403,146
2021-07-01,north,17504.45685279188,16496.0,3448378,197
2021-07-01,south,15300.438356164384,15836.0,2233864,146
2021-07-02,north,17709.20304568528,16804.0,3488713,197
2021-07-02,south,15484.220689655172,15989.0,2245212,145
2021-07-03,north,15271.375634517766,14338.0,3008461,197
2021-07-03,south,13223.48275862069,13662.0,1917405,145
2021-07-04,north,13520.197969543147,13052.0,2663479,197
2021-07-04,south,11945.586206896553,12498.0,1732110,145
2021-07-05,north,16031.482233502538,15034.0,3158202,197
2021-07-05,south,14018.979310344828,14862.0,2032752,145
